,TRB,STL,Pos,G,Player,Year,PTS,BLK,Tm,AST,FG,O_Index,D_Index,Overall_Index,PPG,ASTPG,RPG,BLKPG,STLPG,FGPG
5817,483.0,56.0,PF,82.0,Larry Demic,1980.0,570.0,30.0,NYK,64.0,230.0,5.302439024390244,2.6707317073170733,7.9731707317073175,6.951219512195122,0.7804878048780488,5.890243902439025,0.36585365853658536,0.6829268292682927,2.8048780487804876
5818,363.0,89.0,C,79.0,Coby Dietrick,1980.0,545.0,51.0,CHI,216.0,227.0,5.663291139240506,2.369620253164557,8.032911392405063,6.89873417721519,2.7341772151898733,4.594936708860759,0.6455696202531646,1.1265822784810127,2.8734177215189876
5819,501.0,30.0,C,70.0,Leon Douglas,1980.0,567.0,62.0,DET,121.0,221.0,6.331428571428571,3.257142857142857,9.588571428571427,8.1,1.7285714285714286,7.1571428571428575,0.8857142857142857,0.42857142857142855,3.157142857142857
5820,471.0,91.0,SF,80.0,John Drew,1980.0,1559.0,23.0,ATL,101.0,535.0,14.5625,2.7825,17.345,19.4875,1.2625,5.8875,0.2875,1.1375,6.6875
5821,98.0,41.0,SG,67.0,Terry Duerod,1980.0,624.0,11.0,DET,117.0,282.0,7.28955223880597,0.817910447761194,8.107462686567164,9.313432835820896,1.7462686567164178,1.462686567164179,0.16417910447761194,0.6119402985074627,4.208955223880597
5822,100.0,40.0,PG,51.0,Mike Dunleavy,1980.0,410.0,4.0,HOU,210.0,148.0,6.741176470588235,1.0431372549019609,7.784313725490196,8.03921568627451,4.117647058823529,1.9607843137254901,0.0784313725490196,0.7843137254901961,2.9019607843137254
5823,324.0,102.0,SG,82.0,T.R. Dunn,1980.0,564.0,31.0,POR,147.0,240.0,5.4658536585365844,2.067073170731707,7.532926829268291,6.878048780487805,1.7926829268292683,3.951219512195122,0.3780487804878049,1.2439024390243902,2.926829268292683
5824,578.0,55.0,C,82.0,James Edwards,1980.0,1287.0,104.0,IND,127.0,528.0,11.940243902439025,3.4012195121951225,15.341463414634148,15.695121951219512,1.548780487804878,7.048780487804878,1.2682926829268293,0.6707317073170732,6.439024390243903
5825,185.0,29.0,PF,54.0,Bob Elliott,1980.0,307.0,14.0,NJN,53.0,101.0,4.362962962962962,1.6092592592592594,5.972222222222221,5.685185185185185,0.9814814814814815,3.425925925925926,0.25925925925925924,0.5370370370370371,1.8703703703703705
5826,116.0,10.0,PF,48.0,Bo Ellis,1980.0,162.0,24.0,DEN,30.0,61.0,2.6145833333333335,1.179166666666667,3.79375,3.375,0.625,2.4166666666666665,0.5,0.20833333333333334,1.2708333333333333
5827,257.0,41.0,C,58.0,Len Elmore,1980.0,259.0,39.0,KCK,64.0,104.0,3.5258620689655173,2.1862068965517243,5.712068965517242,4.4655172413793105,1.103448275862069,4.431034482758621,0.6724137931034483,0.7068965517241379,1.793103448275862
5828,605.0,73.0,SF,78.0,Alex English*,1980.0,1318.0,62.0,TOT,224.0,553.0,13.11153846153846,3.621794871794872,16.73333333333333,16.897435897435898,2.871794871794872,7.756410256410256,0.7948717948717948,0.9358974358974359,7.089743589743589
5829,380.0,45.0,SF,54.0,Alex English*,1980.0,806.0,33.0,IND,142.0,346.0,11.614814814814814,3.2481481481481485,14.862962962962962,14.925925925925926,2.6296296296296298,7.037037037037037,0.6111111111111112,0.8333333333333334,6.407407407407407
5830,225.0,28.0,SF,24.0,Alex English*,1980.0,512.0,29.0,DEN,82.0,207.0,16.479166666666668,4.4625,20.94166666666667,21.333333333333332,3.4166666666666665,9.375,1.2083333333333333,1.1666666666666667,8.625
5831,576.0,170.0,SF,78.0,Julius Erving*,1980.0,2100.0,140.0,PHI,355.0,838.0,20.83076923076923,4.146153846153846,24.97692307692308,26.923076923076923,4.551282051282051,7.384615384615385,1.794871794871795,2.1794871794871793,10.743589743589743
5832,75.0,14.0,PF,36.0,Earl Evans,1980.0,157.0,1.0,DET,37.0,63.0,3.433333333333333,0.9583333333333334,4.391666666666667,4.361111111111111,1.0277777777777777,2.0833333333333335,0.027777777777777776,0.3888888888888889,1.75
5833,107.0,60.0,SG,79.0,Mike Evans,1980.0,486.0,9.0,SAS,230.0,208.0,5.151898734177215,0.8037974683544304,5.955696202531645,6.151898734177215,2.911392405063291,1.3544303797468353,0.11392405063291139,0.759493670886076,2.632911392405063
5834,96.0,17.0,PF,56.0,Eric Fernsten,1980.0,175.0,12.0,BOS,28.0,71.0,2.414285714285714,0.8410714285714287,3.255357142857143,3.125,0.5,1.7142857142857142,0.21428571428571427,0.30357142857142855,1.2678571428571428
5835,181.0,111.0,SG,73.0,Chris Ford,1980.0,816.0,27.0,BOS,215.0,330.0,8.865753424657534,1.558904109589041,10.424657534246574,11.178082191780822,2.9452054794520546,2.4794520547945207,0.3698630136986301,1.5205479452054795,4.52054794520548
